room,date,price_real
Франка 14,2024-09-01,3342.86
Франка 14,2024-09-02,3342.86
Франка 14,2024-09-03,3342.86
Франка 14,2024-09-04,3342.86
Франка 14,2024-09-05,3342.86
Франка 14,2024-09-06,3342.86
Франка 14,2024-09-07,3342.86
Мосяжна 4,2024-09-01,3000.0
Вірменська 13,2024-09-01,1600.0
Шевченка 38/1,2024-09-01,1400.0
Хмельницького 37,2024-09-01,1500.0
Цехова 9,2024-09-01,1350.0
Ковжуна 2/6,2024-09-01,1066.0
Сербська 6,2024-09-01,1400.0
Балабана 23,2024-09-01,2720.0
Балабана 23,2024-09-02,2720.0
Балабана 23,2024-09-03,2720.0
Балабана 23,2024-09-04,2720.0
Балабана 23,2024-09-05,2720.0
ковжуна 2/8,2024-09-01,1250.0
Чорновола 1,2024-09-01,1804.12
Шевченка 60,2024-09-01,1700.0
Глібова 5,2024-09-01,2233.33
Глібова 5,2024-09-02,2233.33
Глібова 5,2024-09-03,2233.33
Глібова 5,2024-09-04,2233.33
Глібова 5,2024-09-05,2233.33
Глібова 5,2024-09-06,2233.33
Глібова 5,2024-09-07,2233.33
Глібова 5,2024-09-08,2233.33
Глібова 5,2024-09-09,2233.33
Глібова 5,2024-09-10,2233.33
Глібова 5,2024-09-11,2233.33
Глібова 5,2024-09-12,2233.33
Глібова 5,2024-09-13,2233.33
Глібова 5,2024-09-14,2233.33
Глібова 5,2024-09-15,2233.33
Глібова 5,2024-09-16,2233.33
Глібова 5,2024-09-17,2233.33
Глібова 5,2024-09-18,2233.33
Глібова 5,2024-09-19,2233.33
Глібова 5,2024-09-20,2233.33
Глібова 5,2024-09-21,2233.33
Глібова 5,2024-09-22,2233.33
Глібова 5,2024-09-23,2233.33
Глібова 5,2024-09-24,2233.33
Глібова 5,2024-09-25,2233.33
Глібова 5,2024-09-26,2233.33
Глібова 5,2024-09-27,2233.33
Глібова 5,2024-09-28,2233.33
Глібова 5,2024-09-29,2233.33
Глібова 5,2024-09-30,2233.33
Глібова 5,2024-10-01,2233.33
Глібова 5,2024-10-02,2233.33
Глібова 5,2024-10-03,2233.33
Глібова 5,2024-10-04,2233.33
Глібова 5,2024-10-05,2233.33
Глібова 5,2024-10-06,2233.33
Глібова 5,2024-10-07,2233.33
Глібова 5,2024-10-08,2233.33
Глібова 5,2024-10-09,2233.33
Глібова 5,2024-10-10,2233.33
Глібова 5,2024-10-11,2233.33
Глібова 5,2024-10-12,2233.33
Глібова 5,2024-10-13,2233.33
Глібова 5,2024-10-14,2233.33
Глібова 5,2024-10-15,2233.33
Глібова 5,2024-10-16,2233.33
Глібова 5,2024-10-17,2233.33
Глібова 5,2024-10-18,2233.33
Глібова 5,2024-10-19,2233.33
Глібова 5,2024-10-20,2233.33
Глібова 5,2024-10-21,2233.33
Глібова 5,2024-10-22,2233.33
Глібова 5,2024-10-23,2233.33
Глібова 5,2024-10-24,2233.33
Глібова 5,2024-10-25,2233.33
Глібова 5,2024-10-26,2233.33
Глібова 5,2024-10-27,2233.33
Глібова 5,2024-10-28,2233.33
Глібова 5,2024-10-29,2233.33
Глібова 5,2024-10-30,2233.33
Підмурна 24,2024-09-01,1500.0
Наливайка 13,2024-09-01,2500.0
Городоцька 31,2024-09-02,3000.0
Цехова 9,2024-09-02,1800.0
Підмурна 24,2024-09-02,1600.0
Куліша 47а,2024-09-02,3200.0
Чайковського 26,2024-09-02,2000.0
Чайковського 26,2024-09-03,2000.0
Франка 14,2024-09-08,3171.43
Франка 28,2024-09-02,1800.0
Газова 10,2024-09-02,1353.0
Газова 10,2024-09-03,1353.0
Балабана 3,2024-09-02,1665.0
Словацького 8,2024-09-02,1633.33
Словацького 8,2024-09-03,1633.33
Словацького 8,2024-09-04,1633.33
Чорновола 1,2024-09-02,2200.0
Джерельна 34,2024-09-02,2500.0
Підмурна 24,2024-09-03,1700.0
ковжуна 2/9,2024-09-03,1100.0
ковжуна 2/9,2024-09-04,1100.0
Балабана 3,2024-09-03,1800.0
Балабана 3,2024-09-04,1800.0
Хмельницького 37,2024-09-03,1800.0
Цехова 9,2024-09-03,1850.0
Цехова 9,2024-09-04,1850.0
Цехова 9,2024-09-05,1850.0
Мосяжна 4,2024-09-03,2800.0
Городоцька 33,2024-09-03,1800.0
Городоцька 33,2024-09-04,1800.0
Шевченка 38/1,2024-09-03,1400.0
Сербська 6/1,2024-09-03,1100.0
ковжуна 2/8,2024-09-03,902.01
Городоцька 31,2024-09-03,2132.03
Балабана 23/1,2024-09-03,1520.0
Куліша 47а,2024-09-03,3433.33
Куліша 47а,2024-09-04,3433.33
Куліша 47а,2024-09-05,3433.33
Куліша 47а,2024-09-06,3433.33
Куліша 47а,2024-09-07,3433.33
Куліша 47а,2024-09-08,3433.33
Куліша 47а,2024-09-09,3433.33
Куліша 47а,2024-09-10,3433.33
Куліша 47а,2024-09-11,3433.33
Куліша 47а,2024-09-12,3433.33
Куліша 47а,2024-09-13,3433.33
Куліша 47а,2024-09-14,3433.33
Наливайка 13,2024-09-04,1700.0
Чайковського 26,2024-09-04,1933.33
Чайковського 26,2024-09-05,1933.33
Чайковського 26,2024-09-06,1933.33
Балабана 23/1,2024-09-04,1700.0
Франка 28,2024-09-04,1800.0
Шевченка 38/1,2024-09-04,1312.12
Вірменська 13,2024-09-04,1640.03
Вірменська 13,2024-09-05,1640.03
Газова 10,2024-09-04,2100.0
Газова 10,2024-09-05,2100.0
Газова 10,2024-09-06,2100.0
Газова 10,2024-09-07,2100.0
Ковжуна 2/4,2024-09-04,1235.71
Ковжуна 2/4,2024-09-05,1235.71
Ковжуна 2/4,2024-09-06,1235.71
Ковжуна 2/4,2024-09-07,1235.71
Ковжуна 2/4,2024-09-08,1235.71
Ковжуна 2/4,2024-09-09,1235.71
Ковжуна 2/4,2024-09-10,1235.71
ковжуна 2/8,2024-09-04,1383.33
ковжуна 2/8,2024-09-05,1383.33
ковжуна 2/8,2024-09-06,1383.33
Шевченка 60,2024-09-04,1600.0
Ковжуна 2/6,2024-09-04,1450.0
Ковжуна 2/6,2024-09-05,1450.0
Сербська 6,2024-09-04,984.0
Шевченка 38/1,2024-09-05,2250.0
Шевченка 38/1,2024-09-06,2250.0
Шевченка 38/1,2024-09-07,2250.0
Шевченка 38/1,2024-09-08,2250.0
Городоцька 33,2024-09-05,1900.0
Городоцька 33,2024-09-06,1900.0
Чайковського 26,2024-09-07,2166.67
Балабана 3,2024-09-05,1800.0
Балабана 3,2024-09-06,1800.0
Ковжуна 2/5,2024-09-05,1200.0
Газова 10,2024-09-08,2475.0
Мосяжна 4,2024-09-05,3733.33
Мосяжна 4,2024-09-06,3733.33
Мосяжна 4,2024-09-07,3733.33
Хмельницького 37,2024-09-05,1600.0
Сербська 6,2024-09-05,1148.0
Городоцька 31,2024-09-05,2459.81
Підмурна 24,2024-09-05,1312.16
Шевченка 19,2024-09-05,1639.84
Чорновола 1,2024-09-05,1475.99
Словацького 8,2024-09-05,2166.67
