roomId,roomName,date,price
532268,"Балабана 23",01/10/2025,2600
532268,"Балабана 23",02/10/2025,2600
532268,"Балабана 23",03/10/2025,3500
532269,"Балабана 23-1",01/10/2025,1800
532269,"Балабана 23-1",02/10/2025,1800
532269,"Балабана 23-1",03/10/2025,2200
532270,"Балабана 3",01/10/2025,1800
532270,"Балабана 3",02/10/2025,1800
532270,"Балабана 3",03/10/2025,2500
532271,"Скорика 26",01/10/2025,1600
532271,"Скорика 26",02/10/2025,1600
532271,"Скорика 26",03/10/2025,2800
532277,"Джерельна 34",01/10/2025,2400
532277,"Джерельна 34",02/10/2025,2400
532277,"Джерельна 34",03/10/2025,4500
532279,"Франка 14",01/10/2025,2600
532279,"Франка 14",02/10/2025,2400
532279,"Франка 14",03/10/2025,4500
532280,"",01/10/2025,2400
532280,"",02/10/2025,21000
532280,"",03/10/2025,21000
532281,"",01/10/2025,15000
532281,"",02/10/2025,15000
532281,"",03/10/2025,15000
532282,"Городоцька 31",01/10/2025,2600
532282,"Городоцька 31",02/10/2025,2500
532282,"Городоцька 31",03/10/2025,4500
532283,"Газова 10",01/10/2025,1800
532283,"Газова 10",02/10/2025,2300
532283,"Газова 10",03/10/2025,1800
532284,"Леонтовича 5-2",01/10/2025,2600
532284,"Леонтовича 5-2",02/10/2025,2300
532284,"Леонтовича 5-2",03/10/2025,5000
532285,"Леонтовича 7-2",01/10/2025,2000
532285,"Леонтовича 7-2",02/10/2025,2000
532285,"Леонтовича 7-2",03/10/2025,3500
532286,"Леонтовича 5",01/10/2025,2000
532286,"Леонтовича 5",02/10/2025,1800
532286,"Леонтовича 5",03/10/2025,4200
532287,"Лисенка 11",01/10/2025,2600
532287,"Лисенка 11",02/10/2025,2700
532287,"Лисенка 11",03/10/2025,3200
532288,"Наливайка 13",01/10/2025,1800
532288,"Наливайка 13",02/10/2025,1600
532288,"Наливайка 13",03/10/2025,2500
532289,"Підмурна 24",01/10/2025,1800
532289,"Підмурна 24",02/10/2025,1800
532289,"Підмурна 24",03/10/2025,3000
532290,"Шевченка, 3",01/10/2025,2300
532290,"Шевченка, 3",02/10/2025,2300
532290,"Шевченка, 3",03/10/2025,2400
532291,"Словацького 8",01/10/2025,1400
532291,"Словацького 8",02/10/2025,1600
532291,"Словацького 8",03/10/2025,2200
532292,"Сербська 6",01/10/2025,1300
532292,"Сербська 6",02/10/2025,1300
532292,"Сербська 6",03/10/2025,2000
532305,"Сербська 6_1",01/10/2025,1100
532305,"Сербська 6_1",02/10/2025,1200
532305,"Сербська 6_1",03/10/2025,1300
532308,"Цехова 9",01/10/2025,1500
532308,"Цехова 9",02/10/2025,1500
532308,"Цехова 9",03/10/2025,3200
532309,"Волошина 2а",01/10/2025,2200
532309,"Волошина 2а",02/10/2025,2200
532309,"Волошина 2а",03/10/2025,3800
532736,"Шевченка, 60",01/10/2025,1600
532736,"Шевченка, 60",02/10/2025,1800
532736,"Шевченка, 60",03/10/2025,2600
536643,"Фредра 4а",01/10/2025,3000
536643,"Фредра 4а",02/10/2025,3200
536643,"Фредра 4а",03/10/2025,4700
584735,"Богдана Хмельницького 37",01/10/2025,1500
584735,"Богдана Хмельницького 37",02/10/2025,1500
584735,"Богдана Хмельницького 37",03/10/2025,2400
584754,"Городоцька 33",01/10/2025,1800
584754,"Городоцька 33",02/10/2025,1800
584754,"Городоцька 33",03/10/2025,3000
584755,"Куліша 47а",01/10/2025,2600
584755,"Куліша 47а",02/10/2025,2400
584755,"Куліша 47а",03/10/2025,4500
634192,"Мосяжна 4",01/10/2025,2600
634192,"Мосяжна 4",02/10/2025,2600
634192,"Мосяжна 4",03/10/2025,4500
634193,"Чорновола 1",01/10/2025,2000
634193,"Чорновола 1",02/10/2025,2200
634193,"Чорновола 1",03/10/2025,4500
634194,"",01/10/2025,4000
634194,"",02/10/2025,4000
634194,"",03/10/2025,4000
634195,"Шевченка, 38",01/10/2025,1700
634195,"Шевченка, 38",02/10/2025,1700
634195,"Шевченка, 38",03/10/2025,1700
634196,"Шевченка, 38-1",01/10/2025,1500
634196,"Шевченка, 38-1",02/10/2025,2000
634196,"Шевченка, 38-1",03/10/2025,2600
634197,"Шевченка, 19",01/10/2025,2000
634197,"Шевченка, 19",02/10/2025,1800
634197,"Шевченка, 19",03/10/2025,2800
643565,"Вірменська 13",01/10/2025,1800
643565,"Вірменська 13",02/10/2025,1800
643565,"Вірменська 13",03/10/2025,2800
646648,"Ковжуна 2\8",01/10/2025,1250
646648,"Ковжуна 2\8",02/10/2025,1250
646648,"Ковжуна 2\8",03/10/2025,2250
646649,"Ковжуна 2\9",01/10/2025,1250
646649,"Ковжуна 2\9",02/10/2025,1150
646649,"Ковжуна 2\9",03/10/2025,1650
651048,"Ковжуна 2\6",01/10/2025,1450
651048,"Ковжуна 2\6",02/10/2025,1250
651048,"Ковжуна 2\6",03/10/2025,2350
651049,"Ковжуна 2\7",01/10/2025,1250
651049,"Ковжуна 2\7",02/10/2025,1150
651049,"Ковжуна 2\7",03/10/2025,2250
661917,"Ковжуна 2\4",01/10/2025,1250
661917,"Ковжуна 2\4",02/10/2025,1150
661917,"Ковжуна 2\4",03/10/2025,2250
661918,"Ковжуна 2\5",01/10/2025,1250
661918,"Ковжуна 2\5",02/10/2025,1150
661918,"Ковжуна 2\5",03/10/2025,2250
663195,"Пекарська 32",01/10/2025,1800
663195,"Пекарська 32",02/10/2025,1800
663195,"Пекарська 32",03/10/2025,3000
663196,"Ковжуна 2\3",01/10/2025,1350
